North Carolina, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,-3
189502,0,0
189503,1,-7
189504,2,-9
189505,65,-49
189506,301,28
189507,330,-51
189508,350,10
189509,283,100
189510,9,-26
189511,0,-1
189512,0,-1
189601,0,-3
189602,0,0
189603,2,-6
189604,35,24
189605,263,149
189606,267,-6
189607,401,20
189608,388,48
189609,180,-3
189610,13,-22
189611,7,6
189612,0,-1
189701,0,-3
189702,0,0
189703,9,1
189704,8,-3
189705,78,-36
189706,306,33
189707,384,3
189708,319,-21
189709,189,6
189710,50,15
189711,1,0
189712,0,-1
189801,3,0
189802,0,0
189803,16,8
189804,0,-11
189805,156,42
189806,314,41
189807,398,17
189808,372,32
189809,221,38
189810,33,-2
189811,0,-1
189812,0,-1
189901,1,-2
189902,0,0
189903,6,-2
189904,1,-10
189905,143,29
189906,330,57
189907,363,-18
189908,392,52
189909,159,-24
189910,41,6
189911,0,-1
189912,0,-1
190001,1,-2
190002,0,0
190003,1,-7
190004,7,-4
190005,120,6
190006,290,17
190007,446,65
190008,478,138
190009,283,100
190010,78,43
190011,2,1
190012,0,-1
190101,0,-3
190102,0,0
190103,6,-2
190104,0,-11
190105,119,5
190106,266,-7
190107,425,44
190108,345,5
190109,159,-24
190110,23,-12
190111,0,-1
190112,0,-1
190201,0,-3
190202,0,0
190203,5,-3
190204,2,-9
190205,176,62
190206,286,13
190207,413,32
190208,332,-8
190209,132,-51
190210,38,3
190211,5,4
190212,0,-1
190301,0,-3
190302,0,0
190303,25,17
190304,3,-8
190305,123,9
190306,178,-95
190307,393,12
190308,357,17
190309,139,-44
190310,20,-15
190311,0,-1
190312,0,-1
190401,0,-3
190402,0,0
190403,6,-2
190404,1,-10
190405,96,-18
190406,258,-15
190407,344,-37
190408,307,-33
190409,162,-21
190410,15,-20
190411,0,-1
190412,0,-1
190501,0,-3
190502,0,0
190503,11,3
190504,6,-5
190505,162,48
190506,289,16
190507,375,-6
190508,292,-48
190509,212,29
190510,27,-8
190511,0,-1
190512,0,-1
190601,3,0
190602,0,0
190603,0,-8
190604,17,6
190605,102,-12
190606,288,15
190607,332,-49
190608,398,58
190609,264,81
190610,21,-14
190611,0,-1
190612,0,-1
190701,11,8
190702,0,0
190703,21,13
190704,0,-11
190705,79,-35
190706,163,-110
190707,397,16
190708,318,-22
190709,221,38
190710,11,-24
190711,0,-1
190712,0,-1
190801,0,-3
190802,0,0
190803,23,15
190804,29,18
190805,120,6
190806,240,-33
190807,370,-11
190808,290,-50
190809,122,-61
190810,20,-15
190811,1,0
190812,1,0
190901,4,1
190902,1,1
190903,2,-6
190904,12,1
190905,82,-32
190906,317,44
190907,294,-87
190908,290,-50
190909,116,-67
190910,10,-25
190911,3,2
190912,0,-1
191001,0,-3
191002,0,0
191003,21,13
191004,11,0
191005,76,-38
191006,193,-80
191007,381,0
191008,312,-28
191009,212,29
191010,53,18
191011,0,-1
191012,0,-1
191101,5,2
191102,0,0
191103,2,-6
191104,1,-10
191105,154,40
191106,347,74
191107,379,-2
191108,383,43
191109,292,109
191110,52,17
191111,0,-1
191112,1,0
191201,0,-3
191202,0,0
191203,2,-6
191204,17,6
191205,131,17
191206,220,-53
191207,362,-19
191208,333,-7
191209,268,85
191210,35,0
191211,0,-1
191212,1,0
191301,14,11
191302,0,0
191303,13,5
191304,7,-4
191305,129,15
191306,252,-21
191307,427,46
191308,317,-23
191309,119,-64
191310,28,-7
191311,0,-1
191312,0,-1
191401,2,-1
191402,0,0
191403,0,-8
191404,8,-3
191405,132,18
191406,378,105
191407,376,-5
191408,367,27
191409,113,-70
191410,41,6
191411,0,-1
191412,0,-1
191501,1,-2
191502,0,0
191503,0,-8
191504,11,0
191505,135,21
191506,213,-60
191507,387,6
191508,331,-9
191509,225,42
191510,55,20
191511,1,0
191512,0,-1
191601,8,5
191602,0,0
191603,2,-6
191604,3,-8
191605,179,65
191606,222,-51
191607,341,-40
191608,351,11
191609,130,-53
191610,33,-2
191611,1,0
191612,0,-1
191701,4,1
191702,0,0
191703,3,-5
191704,15,4
191705,45,-69
191706,258,-15
191707,365,-16
191708,316,-24
191709,98,-85
191710,8,-27
191711,0,-1
191712,0,-1
191801,0,-3
191802,0,0
191803,19,11
191804,2,-9
191805,185,71
191806,247,-26
191807,278,-103
191808,386,46
191809,81,-102
191810,63,28
191811,0,-1
191812,2,1
191901,2,-1
191902,0,0
191903,9,1
191904,7,-4
191905,126,12
191906,262,-11
191907,374,-7
191908,328,-12
191909,177,-6
191910,170,135
191911,1,0
191912,0,-1
192001,0,-3
192002,0,0
192003,3,-5
192004,4,-7
192005,51,-63
192006,257,-16
192007,334,-47
192008,302,-38
192009,218,35
192010,42,7
192011,0,-1
192012,0,-1
192101,2,-1
192102,0,0
192103,44,36
192104,19,8
192105,71,-43
192106,319,46
192107,405,24
192108,330,-10
192109,363,180
192110,28,-7
192111,3,2
192112,1,0
192201,0,-3
192202,1,1
192203,9,1
192204,18,7
192205,126,12
192206,312,39
192207,391,10
192208,268,-72
192209,210,27
192210,40,5
192211,0,-1
192212,2,1
192301,2,-1
192302,0,0
192303,9,1
192304,4,-7
192305,82,-32
192306,316,43
192307,365,-16
192308,362,22
192309,220,37
192310,20,-15
192311,0,-1
192312,5,4
192401,0,-3
192402,0,0
192403,1,-7
192404,4,-7
192405,76,-38
192406,307,34
192407,318,-63
192408,370,30
192409,101,-82
192410,20,-15
192411,0,-1
192412,0,-1
192501,0,-3
192502,2,2
192503,10,2
192504,26,15
192505,61,-53
192506,369,96
192507,439,58
192508,321,-19
192509,359,176
192510,23,-12
192511,0,-1
192512,0,-1
192601,0,-3
192602,0,0
192603,0,-8
192604,3,-8
192605,110,-4
192606,255,-18
192607,407,26
192608,421,81
192609,273,90
192610,47,12
192611,0,-1
192612,0,-1
192701,1,-2
192702,6,6
192703,8,0
192704,8,-3
192705,134,20
192706,206,-67
192707,345,-36
192708,247,-93
192709,209,26
192710,47,12
192711,3,2
192712,0,-1
192801,0,-3
192802,0,0
192803,5,-3
192804,1,-10
192805,71,-43
192806,254,-19
192807,396,15
192808,389,49
192809,110,-73
192810,54,19
192811,0,-1
192812,0,-1
192901,2,-1
192902,0,0
192903,15,7
192904,22,11
192905,101,-13
192906,228,-45
192907,330,-51
192908,300,-40
192909,162,-21
192910,17,-18
192911,1,0
192912,0,-1
193001,2,-1
193002,1,1
193003,1,-7
193004,11,0
193005,156,42
193006,237,-36
193007,445,64
193008,287,-53
193009,295,112
193010,12,-23
193011,0,-1
193012,0,-1
193101,0,-3
193102,0,0
193103,0,-8
193104,3,-8
193105,84,-30
193106,293,20
193107,470,89
193108,317,-23
193109,278,95
193110,48,13
193111,7,6
193112,7,6
193201,18,15
193202,3,3
193203,1,-7
193204,6,-5
193205,91,-23
193206,301,28
193207,455,74
193208,359,19
193209,178,-5
193210,35,0
193211,0,-1
193212,2,1
193301,11,8
193302,0,0
193303,5,-3
193304,8,-3
193305,216,102
193306,332,59
193307,360,-21
193308,345,5
193309,310,127
193310,36,1
193311,0,-1
193312,3,2
193401,3,0
193402,0,0
193403,1,-7
193404,13,2
193405,105,-9
193406,352,79
193407,457,76
193408,377,37
193409,231,48
193410,25,-10
193411,2,1
193412,0,-1
193501,1,-2
193502,0,0
193503,22,14
193504,4,-7
193505,93,-21
193506,304,31
193507,385,4
193508,362,22
193509,169,-14
193510,32,-3
193511,2,1
193512,0,-1
193601,0,-3
193602,0,0
193603,11,3
193604,2,-9
193605,159,45
193606,281,8
193607,425,44
193608,380,40
193609,230,47
193610,50,15
193611,0,-1
193612,0,-1
193701,20,17
193702,0,0
193703,1,-7
193704,5,-6
193705,111,-3
193706,333,60
193707,373,-8
193708,369,29
193709,119,-64
193710,15,-20
193711,0,-1
193712,0,-1
193801,1,-2
193802,1,1
193803,22,14
193804,14,3
193805,135,21
193806,228,-45
193807,349,-32
193808,407,67
193809,185,2
193810,25,-10
193811,2,1
193812,0,-1
193901,3,0
193902,2,2
193903,13,5
193904,8,-3
193905,110,-4
193906,384,111
193907,359,-22
193908,346,6
193909,239,56
193910,56,21
193911,0,-1
193912,0,-1
194001,0,-3
194002,0,0
194003,1,-7
194004,3,-8
194005,93,-21
194006,326,53
194007,360,-21
194008,327,-13
194009,132,-51
194010,24,-11
194011,0,-1
194012,2,1
194101,0,-3
194102,0,0
194103,0,-8
194104,21,10
194105,154,40
194106,285,12
194107,406,25
194108,378,38
194109,258,75
194110,113,78
194111,1,0
194112,1,0
194201,0,-3
194202,0,0
194203,9,1
194204,19,8
194205,145,31
194206,333,60
194207,436,55
194208,326,-14
194209,213,30
194210,38,3
194211,2,1
194212,0,-1
194301,2,-1
194302,0,0
194303,2,-6
194304,3,-8
194305,160,46
194306,409,136
194307,377,-4
194308,388,48
194309,118,-65
194310,20,-15
194311,0,-1
194312,0,-1
194401,0,-3
194402,0,0
194403,3,-5
194404,7,-4
194405,197,83
194406,368,95
194407,334,-47
194408,295,-45
194409,206,23
194410,23,-12
194411,0,-1
194412,0,-1
194501,0,-3
194502,0,0
194503,48,40
194504,34,23
194505,68,-46
194506,313,40
194507,371,-10
194508,310,-30
194509,264,81
194510,24,-11
194511,2,1
194512,0,-1
194601,2,-1
194602,0,0
194603,25,17
194604,12,1
194605,98,-16
194606,262,-11
194607,330,-51
194608,262,-78
194609,163,-20
194610,35,0
194611,6,5
194612,2,1
194701,6,3
194702,0,0
194703,0,-8
194704,22,11
194705,130,16
194706,251,-22
194707,280,-101
194708,376,36
194709,201,18
194710,72,37
194711,0,-1
194712,0,-1
194801,0,-3
194802,0,0
194803,15,7
194804,26,15
194805,123,9
194806,295,22
194807,416,35
194808,314,-26
194809,145,-38
194810,10,-25
194811,6,5
194812,1,0
194901,16,13
194902,2,2
194903,7,-1
194904,5,-6
194905,119,5
194906,304,31
194907,439,58
194908,342,2
194909,127,-56
194910,69,34
194911,0,-1
194912,1,0
195001,24,21
195002,1,1
195003,1,-7
195004,3,-8
195005,138,24
195006,285,12
195007,330,-51
195008,290,-50
195009,143,-40
195010,57,22
195011,0,-1
195012,0,-1
195101,2,-1
195102,0,0
195103,5,-3
195104,5,-6
195105,93,-21
195106,295,22
195107,395,14
195108,373,33
195109,181,-2
195110,61,26
195111,0,-1
195112,2,1
195201,9,6
195202,0,0
195203,3,-5
195204,10,-1
195205,135,21
195206,420,147
195207,433,52
195208,327,-13
195209,150,-33
195210,9,-26
195211,0,-1
195212,0,-1
195301,7,4
195302,0,0
195303,8,0
195304,10,-1
195305,237,123
195306,293,20
195307,405,24
195308,351,11
195309,163,-20
195310,46,11
195311,0,-1
195312,0,-1
195401,2,-1
195402,1,1
195403,3,-5
195404,38,27
195405,51,-63
195406,297,24
195407,412,31
195408,394,54
195409,258,75
195410,48,13
195411,0,-1
195412,0,-1
195501,0,-3
195502,0,0
195503,13,5
195504,31,20
195505,152,38
195506,166,-107
195507,428,47
195508,384,44
195509,200,17
195510,26,-9
195511,0,-1
195512,0,-1
195601,0,-3
195602,1,1
195603,3,-5
195604,3,-8
195605,122,8
195606,281,8
195607,384,3
195608,351,11
195609,129,-54
195610,45,10
195611,0,-1
195612,10,9
195701,1,-2
195702,1,1
195703,2,-6
195704,28,17
195705,135,21
195706,304,31
195707,370,-11
195708,298,-42
195709,215,32
195710,8,-27
195711,1,0
195712,0,-1
195801,0,-3
195802,0,0
195803,0,-8
195804,8,-3
195805,116,2
195806,251,-22
195807,414,33
195808,351,11
195809,155,-28
195810,17,-18
195811,3,2
195812,0,-1
195901,0,-3
195902,0,0
195903,2,-6
195904,15,4
195905,171,57
195906,266,-7
195907,367,-14
195908,391,51
195909,179,-4
195910,48,13
195911,0,-1
195912,0,-1
196001,1,-2
196002,0,0
196003,0,-8
196004,26,15
196005,92,-22
196006,273,0
196007,340,-41
196008,367,27
196009,179,-4
196010,37,2
196011,1,0
196012,0,-1
196101,0,-3
196102,0,0
196103,12,4
196104,0,-11
196105,60,-54
196106,214,-59
196107,356,-25
196108,324,-16
196109,230,47
196110,20,-15
196111,3,2
196112,0,-1
196201,0,-3
196202,0,0
196203,0,-8
196204,4,-7
196205,213,99
196206,237,-36
196207,331,-50
196208,318,-22
196209,125,-58
196210,45,10
196211,0,-1
196212,0,-1
196301,0,-3
196302,0,0
196303,12,4
196304,17,6
196305,83,-31
196306,228,-45
196307,316,-65
196308,321,-19
196309,104,-79
196310,29,-6
196311,0,-1
196312,0,-1
196401,1,-2
196402,0,0
196403,7,-1
196404,11,0
196405,120,6
196406,298,25
196407,324,-57
196408,276,-64
196409,145,-38
