Georgia, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,4,-4
189502,0,-4
189503,13,-5
189504,26,-7
189505,127,-36
189506,351,22
189507,385,-33
189508,402,9
189509,317,75
189510,27,-30
189511,3,-4
189512,0,-3
189601,2,-6
189602,2,-2
189603,6,-12
189604,91,58
189605,306,143
189606,343,14
189607,442,24
189608,474,81
189609,290,48
189610,45,-12
189611,19,12
189612,1,-2
189701,2,-6
189702,5,1
189703,30,12
189704,28,-5
189705,132,-31
189706,440,111
189707,438,20
189708,378,-15
189709,242,0
189710,92,35
189711,7,0
189712,2,-1
189801,14,6
189802,1,-3
189803,38,20
189804,8,-25
189805,254,91
189806,432,103
189807,433,15
189808,383,-10
189809,259,17
189810,33,-24
189811,2,-5
189812,1,-2
189901,4,-4
189902,1,-3
189903,17,-1
189904,19,-14
189905,275,112
189906,417,88
189907,427,9
189908,459,66
189909,200,-42
189910,66,9
189911,7,0
189912,1,-2
190001,3,-5
190002,1,-3
190003,7,-11
190004,46,13
190005,159,-4
190006,293,-36
190007,450,32
190008,496,103
190009,317,75
190010,117,60
190011,7,0
190012,1,-2
190101,5,-3
190102,0,-4
190103,9,-9
190104,2,-31
190105,184,21
190106,356,27
190107,487,69
190108,378,-15
190109,198,-44
190110,39,-18
190111,0,-7
190112,0,-3
190201,2,-6
190202,0,-4
190203,11,-7
190204,18,-15
190205,283,120
190206,406,77
190207,508,90
190208,445,52
190209,195,-47
190210,50,-7
190211,17,10
190212,2,-1
190301,3,-5
190302,3,-1
190303,38,20
190304,13,-20
190305,151,-12
190306,237,-92
190307,431,13
190308,451,58
190309,209,-33
190310,41,-16
190311,2,-5
190312,0,-3
190401,1,-7
190402,2,-2
190403,21,3
190404,10,-23
190405,151,-12
190406,342,13
190407,403,-15
190408,361,-32
190409,288,46
190410,54,-3
190411,2,-5
190412,2,-1
190501,1,-7
190502,0,-4
190503,28,10
190504,39,6
190505,248,85
190506,384,55
190507,434,16
190508,380,-13
190509,309,67
190510,55,-2
190511,6,-1
190512,0,-3
190601,6,-2
190602,1,-3
190603,5,-13
190604,48,15
190605,154,-9
