Tennessee, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,-2
189502,0,-1
189503,6,-5
189504,16,0
189505,88,-26
189506,316,45
189507,323,-56
189508,348,4
189509,272,87
189510,3,-30
189511,0,-1
189512,0,0
189601,0,-2
189602,0,-1
189603,1,-10
189604,68,52
189605,237,123
189606,250,-21
189607,395,16
189608,396,52
189609,166,-19
189610,16,-17
189611,0,-1
189612,0,0
189701,0,-2
189702,0,-1
189703,19,8
189704,13,-3
189705,66,-48
189706,310,39
189707,400,21
189708,339,-5
189709,229,44
189710,69,36
189711,0,-1
189712,0,0
189801,6,4
189802,0,-1
189803,23,12
189804,2,-14
189805,169,55
189806,353,82
189807,387,8
189808,356,12
189809,246,61
189810,18,-15
189811,0,-1
189812,0,0
189901,0,-2
189902,0,-1
189903,7,-4
189904,9,-7
189905,202,88
189906,348,77
189907,386,7
189908,423,79
189909,145,-40
189910,52,19
189911,1,0
189912,0,0
190001,0,-2
190002,0,-1
190003,4,-7
190004,16,0
190005,115,1
190006,270,-1
190007,397,18
190008,444,100
190009,294,109
190010,83,50
190011,0,-1
190012,0,0
190101,0,-2
190102,0,-1
190103,7,-4
190104,2,-14
190105,91,-23
190106,336,65
190107,494,115
190108,322,-22
190109,130,-55
190110,22,-11
190111,0,-1
190112,0,0
190201,0,-2
190202,0,-1
190203,10,-1
190204,8,-8
190205,217,103
190206,306,35
190207,431,52
190208,365,21
190209,121,-64
190210,34,1
190211,7,6
190212,0,0
190301,0,-2
190302,0,-1
190303,25,14
190304,8,-8
190305,133,19
190306,134,-137
190307,386,7
190308,362,18
190309,150,-35
190310,23,-10
190311,0,-1
190312,0,0
190401,0,-2
190402,0,-1
190403,13,2
190404,1,-15
190405,96,-18
190406,257,-14
190407,308,-71
190408,327,-17
190409,216,31
190410,21,-12
190411,0,-1
190412,0,0
190501,0,-2
190502,0,-1
190503,24,13
190504,14,-2
190505,169,55
190506,309,38
190507,335,-44
190508,340,-4
190509,207,22
190510,26,-7
190511,0,-1
190512,0,0
190601,0,-2
190602,0,-1
190603,0,-11
190604,25,9
190605,112,-2
190606,287,16
190607,306,-73
190608,373,29
190609,272,87
190610,17,-16
190611,0,-1
190612,0,0
190701,15,13
190702,0,-1
190703,51,40
190704,0,-16
190705,60,-54
190706,196,-75
190707,417,38
190708,355,11
190709,175,-10
190710,16,-17
190711,0,-1
190712,0,0
190801,0,-2
190802,0,-1
190803,30,19
190804,31,15
190805,137,23
190806,263,-8
190807,367,-12
190808,339,-5
190809,184,-1
190810,15,-18
190811,0,-1
190812,0,0
190901,3,1
190902,0,-1
190903,7,-4
190904,15,-1
190905,90,-24
190906,294,23
190907,334,-45
190908,383,39
190909,152,-33
190910,17,-16
190911,10,9
190912,0,0
191001,0,-2
191002,0,-1
191003,35,24
191004,10,-6
191005,61,-53
191006,180,-91
191007,354,-25
191008,312,-32
191009,248,63
191010,45,12
191011,0,-1
191012,0,0
