Oklahoma, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1031,147
189502,998,333
189503,495,6
189504,114,-74
189505,22,-20
189506,0,-1
189507,0,0
189508,0,-1
189509,6,-14
189510,287,137
189511,596,109
189512,839,40
189601,836,-48
189602,650,-15
189603,600,111
189604,78,-110
189605,7,-35
189606,0,-1
189607,0,0
189608,0,-1
189609,20,0
189610,209,59
189611,578,91
189612,708,-91
189701,979,95
189702,649,-16
189703,456,-33
189704,192,4
189705,47,5
189706,0,-1
189707,0,0
189708,0,-1
189709,9,-11
189710,79,-71
189711,502,15
189712,906,107
189801,799,-85
189802,599,-66
189803,502,13
189804,225,37
189805,26,-16
189806,0,-1
189807,0,0
189808,0,-1
189809,12,-8
189810,205,55
189811,605,118
189812,978,179
189901,925,41
189902,1036,371
189903,576,87
189904,208,20
189905,14,-28
189906,0,-1
189907,0,0
189908,0,-1
189909,22,2
189910,86,-64
189911,386,-101
189912,859,60
190001,781,-103
190002,796,131
190003,509,20
190004,157,-31
190005,34,-8
190006,0,-1
190007,0,0
190008,0,-1
190009,8,-12
190010,94,-56
190011,454,-33
190012,724,-75
190101,786,-98
190102,776,111
190103,514,25
190104,242,54
190105,40,-2
190106,0,-1
190107,0,0
190108,0,-1
190109,15,-5
190110,92,-58
190111,439,-48
190112,887,88
190201,913,29
190202,845,180
190203,467,-22
190204,166,-22
190205,15,-27
190206,1,0
190207,0,0
190208,0,-1
190209,65,45
190210,140,-10
190211,364,-123
190212,894,95
190301,846,-38
190302,831,166
190303,505,16
190304,178,-10
190305,66,24
190306,17,16
190307,0,0
190308,0,-1
190309,28,8
190310,170,20
190311,563,76
190312,810,11
190401,915,31
190402,602,-63
190403,326,-163
190404,231,43
190405,45,3
190406,1,0
190407,0,0
190408,2,1
190409,11,-9
190410,130,-20
190411,438,-49
190412,833,34
190501,1139,255
190502,1054,389
190503,332,-157
190504,209,21
190505,29,-13
190506,0,-1
190507,0,0
190508,0,-1
190509,10,-10
190510,205,55
190511,425,-62
190512,876,77
190601,804,-80
190602,690,25
190603,740,251
190604,133,-55
190605,30,-12
190606,1,0
190607,0,0
190608,2,1
190609,13,-7
190610,241,91
190611,546,59
190612,660,-139
190701,705,-179
190702,629,-36
190703,234,-255
190704,318,130
190705,128,86
190706,1,0
190707,0,0
190708,0,-1
190709,11,-9
190710,166,16
190711,555,68
190712,742,-57
190801,771,-113
190802,619,-46
190803,330,-159
190804,181,-7
190805,37,-5
190806,1,0
190807,0,0
190808,0,-1
190809,19,-1
190810,217,67
190811,466,-21
190812,705,-94
190901,812,-72
190902,596,-69
190903,512,23
190904,195,7
190905,50,8
190906,0,-1
190907,0,0
190908,0,-1
190909,11,-9
190910,149,-1
190911,284,-203
190912,1050,251
191001,804,-80
191002,818,153
191003,230,-259
191004,171,-17
191005,69,27
191006,0,-1
191007,0,0
191008,0,-1
191009,3,-17
191010,129,-21
191011,444,-43
191012,829,30
191101,714,-170
191102,569,-96
191103,355,-134
191104,183,-5
191105,14,-28
191106,0,-1
191107,0,0
191108,0,-1
191109,0,-20
191110,146,-4
191111,602,115
191112,835,36
191201,1098,214
191202,780,115
191203,746,257
191204,189,1
191205,17,-25
191206,4,3
191207,0,0
191208,0,-1
